#freq[Hz]   abs[m/N]   phase[degree]
0.122743923116   0.000833782438092   -163.77480369
0.122885318658   0.000930683302307   -165.071398026
0.123026877081   0.00101186263674   -165.99550696
0.123168598574   0.00108049514048   -166.689959097
0.123310483323   0.0011389744931   -167.23202783
0.123452531517   0.00118913093776   -167.66734968
0.123594743344   0.0012323845434   -168.024712709
0.123737118994   0.00126985258813   -168.323232637
0.123879658653   0.00130242550074   -168.576134175
0.124022362512   0.00133082130547   -168.792878445
0.124165230759   0.00135562523065   -168.980425484
0.124308263584   0.0013773189405   -169.144017413
0.124451461177   0.00139630240462   -169.287682761
0.124594823727   0.00141291046893   -169.414571785
0.124738351424   0.00142742556114   -169.527185642
0.124882044459   0.00144008753989   -169.627536858
0.125025903022   0.00145110140753   -169.717264086
0.125169927303   0.00146064340721   -169.797715739
0.125314117494   0.00146886588509   -169.870011973
0.125458473786   0.00147590119942   -169.93509132
0.125602996369   0.00148186488744   -169.993746251
0.125747685437   0.00148685824903   -170.046650642
0.125892541179   0.00149097046888   -170.094381222
0.126037563789   0.00149428037022   -170.137434492
0.126182753459   0.00149685787269   -170.176240202
0.126328110381   0.00149876521101   -170.211172186
0.126473634747   0.00150005795885   -170.242557126
0.126619326751   0.00150078589341   -170.270681715
0.126765186586   0.00150099372874   -170.295798541
0.126911214445   0.00150072174062   -170.318130946
0.127057410521   0.00150000630106   -170.33787708
0.127203775009   0.0014988803375   -170.355213284
0.127350308102   0.00149737372867   -170.370296946
0.127497009994   0.00149551364709   -170.383268905
0.127643880881   0.0014933248565   -170.394255503
0.127790920957   0.00149082997081   -170.403370327
0.127938130416   0.0014880496805   -170.41071571
0.128085509454   0.00148500295088   -170.416384013
0.128233058266   0.00148170719643   -170.420458744
0.128380777047   0.00147817843441   -170.423015513
0.128528665994   0.0014744314205   -170.424122877
0.128676725303   0.00147047976907   -170.423843063
0.128824955169   0.00146633605982   -170.422232613
0.12897335579   0.00146201193284   -170.41934294
0.129121927361   0.00145751817324   -170.415220825
0.129270670081   0.00145286478689   -170.409908846
0.129419584145   0.00144806106824   -170.403445771
0.129568669752   0.00144311566113   -170.395866888
0.129717927098   0.00143803661358   -170.387204318
0.129867356383   0.00143283142698   -170.377487275
0.130016957803   0.00142750710066   -170.366742313
0.130166731558   0.00142207017206   -170.354993536
