#Filename : asd_diff_gif.dat
#Date : 2018/07/20
#Author : K.Miyo
#
#Discription
#-----------
#Xend   	: displacement of the seismometer on the Xend 
#       	  2nd floar(EXV) with Xarm direction
#Center 	: displacement of the seismometer on the Center 
#       	  2nd floar(IXV) with Xarm direction
#GIF    	: strain of the Xarm 1500 m distance measured by 
#       	  GIF strainmeter
#diff_seis 	:= (Xend-Center)/sqrt(2)
#comm_seis 	:= (Xend+Center)/sqrt(2)
#diff_gif  	:= GIF*3000/sqrt(2)
#
#Data Information
#----------------
#Data Name         	: asd_diff_gif.dat
#Start [GPS Time]  	: 1214784018
#Time Lenght [sec] 	: 8192
#BW [Hz]           	: 7.8125e-03
#Window            	: Hanning
#Average           	: 64
#Overlap           	: 50% 
#Dof               	: 128
#
#
#Frequency[Hz],ASD [um/sqrtHz]
4.0156250e+00,1.5949675e-02
4.0234375e+00,1.7300363e-02
4.0312500e+00,1.7102353e-02
4.0390625e+00,1.4704356e-02
4.0468750e+00,1.4511051e-02
4.0546875e+00,1.6771095e-02
4.0625000e+00,1.6271090e-02
4.0703125e+00,1.4090140e-02
4.0781250e+00,1.4937263e-02
4.0859375e+00,1.6857549e-02
4.0937500e+00,1.8308262e-02
4.1015625e+00,1.8421342e-02
4.1093750e+00,1.6793743e-02
4.1171875e+00,1.4780644e-02
4.1250000e+00,1.4144664e-02
4.1328125e+00,1.4885293e-02
4.1406250e+00,1.5365007e-02
4.1484375e+00,1.5306605e-02
4.1562500e+00,1.5580462e-02
4.1640625e+00,1.5301183e-02
4.1718750e+00,1.4873294e-02
4.1796875e+00,1.4048759e-02
4.1875000e+00,1.2225874e-02
4.1953125e+00,1.2649007e-02
4.2031250e+00,1.4265329e-02
4.2109375e+00,1.3169425e-02
4.2187500e+00,1.1021505e-02
4.2265625e+00,1.1748887e-02
4.2343750e+00,1.1680234e-02
4.2421875e+00,1.1437827e-02
4.2500000e+00,1.3261664e-02
4.2578125e+00,1.4591567e-02
4.2656250e+00,1.2580346e-02
4.2734375e+00,1.0709995e-02
4.2812500e+00,1.1888247e-02
4.2890625e+00,1.2739559e-02
4.2968750e+00,1.1991384e-02
4.3046875e+00,1.0556631e-02
4.3125000e+00,1.0867362e-02
4.3203125e+00,1.2314214e-02
4.3281250e+00,1.2341130e-02
4.3359375e+00,1.2616942e-02
4.3437500e+00,1.3732932e-02
4.3515625e+00,1.4308961e-02
4.3593750e+00,1.5104952e-02
4.3671875e+00,1.4500124e-02
4.3750000e+00,1.2002639e-02
4.3828125e+00,1.1194626e-02
4.3906250e+00,1.2283968e-02
4.3984375e+00,1.2450141e-02
4.4062500e+00,1.1276471e-02
4.4140625e+00,1.1806011e-02
4.4218750e+00,1.2176773e-02
4.4296875e+00,1.0674740e-02
4.4375000e+00,1.0471126e-02
4.4453125e+00,1.2221785e-02
4.4531250e+00,1.3445642e-02
4.4609375e+00,1.3451593e-02
4.4687500e+00,1.2366083e-02
4.4765625e+00,1.2047804e-02
4.4843750e+00,1.1026715e-02
4.4921875e+00,1.1613894e-02
4.5000000e+00,1.1644708e-02
4.5078125e+00,1.1734822e-02
4.5156250e+00,1.2173917e-02
4.5234375e+00,1.2831644e-02
4.5312500e+00,1.2980634e-02
4.5390625e+00,1.2489558e-02
4.5468750e+00,1.1889777e-02
4.5546875e+00,1.0555658e-02
4.5625000e+00,1.0438755e-02
4.5703125e+00,1.0656719e-02
4.5781250e+00,1.0852022e-02
4.5859375e+00,1.0161827e-02
4.5937500e+00,1.0009693e-02
4.6015625e+00,1.0619598e-02
4.6093750e+00,1.0548232e-02
4.6171875e+00,1.1099762e-02
4.6250000e+00,1.2367770e-02
4.6328125e+00,1.1925305e-02
4.6406250e+00,1.0628359e-02
4.6484375e+00,1.1591310e-02
4.6562500e+00,1.1987352e-02
4.6640625e+00,1.1038249e-02
4.6718750e+00,1.0037470e-02
4.6796875e+00,9.3308234e-03
4.6875000e+00,1.0442109e-02
4.6953125e+00,1.1651580e-02
4.7031250e+00,1.1360514e-02
4.7109375e+00,1.2842038e-02
4.7187500e+00,1.3387633e-02
4.7265625e+00,1.2969226e-02
4.7343750e+00,1.2048416e-02
4.7421875e+00,1.1077036e-02
4.7500000e+00,1.2291493e-02
4.7578125e+00,1.2847273e-02
4.7656250e+00,1.1710704e-02
4.7734375e+00,1.0981110e-02
4.7812500e+00,1.0495334e-02
4.7890625e+00,1.0241037e-02
4.7968750e+00,1.0385000e-02
4.8046875e+00,1.0588393e-02
4.8125000e+00,1.1744638e-02
4.8203125e+00,1.1879294e-02
4.8281250e+00,1.0423774e-02
4.8359375e+00,1.1095163e-02
4.8437500e+00,1.0998765e-02
4.8515625e+00,1.0366078e-02
4.8593750e+00,1.1417408e-02
4.8671875e+00,1.1747454e-02
4.8750000e+00,1.2137111e-02
4.8828125e+00,1.2214599e-02
4.8906250e+00,1.1279880e-02
4.8984375e+00,9.8550028e-03
4.9062500e+00,9.9489595e-03
4.9140625e+00,1.1512296e-02
4.9218750e+00,1.2489814e-02
4.9296875e+00,1.2100809e-02
4.9375000e+00,1.2874450e-02
4.9453125e+00,1.2242614e-02
4.9531250e+00,1.1029627e-02
4.9609375e+00,1.1654033e-02
4.9687500e+00,1.0932524e-02
4.9765625e+00,1.0888802e-02
4.9843750e+00,1.1912167e-02
4.9921875e+00,1.2238936e-02
5.0000000e+00,1.2252510e-02
5.0078125e+00,1.1354587e-02
5.0156250e+00,1.1541949e-02
5.0234375e+00,1.2047324e-02
5.0312500e+00,1.1301765e-02
5.0390625e+00,1.1918328e-02
5.0468750e+00,1.2564902e-02
5.0546875e+00,1.0586065e-02
5.0625000e+00,9.3981219e-03
5.0703125e+00,1.1011662e-02
5.0781250e+00,1.1925577e-02
5.0859375e+00,1.1999017e-02
5.0937500e+00,1.0914973e-02
5.1015625e+00,1.1083682e-02
5.1093750e+00,1.1413642e-02
5.1171875e+00,1.1194433e-02
5.1250000e+00,1.2548028e-02
5.1328125e+00,1.2780773e-02
5.1406250e+00,1.1094435e-02
5.1484375e+00,1.0901329e-02
5.1562500e+00,1.1036681e-02
