#Frequency[Hz] NS_woA  WE_woA  Z_woA NS_wA WE_wA Z_wA            
1.1171875 1.85816E-09 1.40324E-09 3.59165E-09 1.53936E-09 1.909E-09 2.23032E-09
1.125 2.10671E-09 2.19709E-09 3.52961E-09 1.788E-09 1.38839E-09 2.70375E-09
1.1328125 1.87319E-09 2.58732E-09 3.05352E-09 2.05323E-09 1.17308E-09 2.52727E-09
1.140625  1.441E-09 2.98377E-09 2.97461E-09 2.21546E-09 1.72462E-09 2.30392E-09
1.1484375 2.22531E-09 2.82102E-09 2.24154E-09 2.1699E-09  1.66316E-09 1.83434E-09
1.15625 1.83639E-09 2.90147E-09 1.16902E-09 1.59922E-09 1.85063E-09 3.49054E-09
1.1640625 1.308E-09 2.73198E-09 1.33277E-09 1.63609E-09 1.63222E-09 3.54751E-09
1.171875  9.18933E-10 2.04601E-09 2.74716E-09 1.62551E-09 1.48834E-09 2.41634E-09
1.1796875 1.34998E-09 1.5768E-09  3.11786E-09 1.46568E-09 1.79828E-09 1.64958E-09
1.1875  1.70641E-09 1.78837E-09 3.69542E-09 1.40312E-09 1.19003E-09 1.89172E-09
1.1953125 1.50077E-09 1.40422E-09 4.80089E-09 1.5755E-09  1.30725E-09 3.62869E-09
1.203125  9.12269E-10 1.21073E-09 4.48156E-09 1.18847E-09 1.60018E-09 3.76019E-09
1.2109375 1.3548E-09  1.63043E-09 2.46037E-09 1.03918E-09 2.0243E-09  2.83774E-09
1.21875 2.18477E-09 2.23344E-09 2.36482E-09 1.74174E-09 2.60446E-09 3.38405E-09
1.2265625 1.62067E-09 3.26218E-09 2.24136E-09 1.39493E-09 2.2593E-09  2.88253E-09
1.234375  9.50738E-10 2.74519E-09 3.10245E-09 9.38647E-10 1.66828E-09 1.99474E-09
1.2421875 1.57386E-09 1.70169E-09 3.41271E-09 7.95404E-10 1.80719E-09 2.70766E-09
1.25  2.26673E-09 1.73822E-09 4.17449E-09 1.10427E-09 1.6477E-09  2.68466E-09
